time/episodes,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps
4,31,0.778908371925354,334,-2.9363512992858887,-11.929837226867676,500.0,0.0,10000,0.04869444668292999,0.00075,322
8,31,,,,,500.0,0.0,10000,,,322
12,31,,,,,500.0,0.0,10000,,,322
16,31,,,,,500.0,0.0,10000,,,322
20,31,,,,,500.0,0.0,10000,,,321
24,63,0.5352230072021484,834,-7.354739665985107,-16.148080825805664,500.0,0.0,20000,0.06127054616808891,0.00075,315
28,63,,,,,500.0,0.0,20000,,,315
32,63,,,,,500.0,0.0,20000,,,315
36,63,,,,,500.0,0.0,20000,,,315
40,63,,,,,500.0,0.0,20000,,,315
44,95,0.3677985668182373,1334,-11.751604080200195,-18.940715789794922,500.0,0.0,30000,0.06161695718765259,0.00075,314
48,95,,,,,500.0,0.0,30000,,,314
52,95,,,,,500.0,0.0,30000,,,314
56,95,,,,,500.0,0.0,30000,,,314
60,95,,,,,500.0,0.0,30000,,,314
64,127,0.2527887523174286,1834,-16.156587600708008,-20.49014663696289,500.0,0.0,40000,0.13016600906848907,0.00075,313
68,127,,,,,500.0,0.0,40000,,,313
72,127,,,,,500.0,0.0,40000,,,313
76,127,,,,,500.0,0.0,40000,,,313
80,127,,,,,500.0,0.0,40000,,,313
84,160,0.17380091547966003,2334,-20.510265350341797,-21.726070404052734,500.0,0.0,50000,0.03960249200463295,0.00075,312
88,160,,,,,500.0,0.0,50000,,,312
92,160,,,,,500.0,0.0,50000,,,312
96,160,,,,,500.0,0.0,50000,,,312
100,160,,,,,500.0,0.0,50000,,,312
104,192,0.11957269161939621,2834,-24.965621948242188,-22.263769149780273,500.0,0.0,60000,0.04045458137989044,0.00075,311
108,192,,,,,500.0,0.0,60000,,,311
112,192,,,,,500.0,0.0,60000,,,311
116,192,,,,,500.0,0.0,60000,,,311
120,192,,,,,500.0,0.0,60000,,,311
124,225,0.08230593800544739,3334,-28.796489715576172,-22.251514434814453,500.0,0.0,70000,0.017641887068748474,0.00075,310
128,225,,,,,500.0,0.0,70000,,,310
132,225,,,,,500.0,0.0,70000,,,310
136,225,,,,,500.0,0.0,70000,,,310
140,225,,,,,500.0,0.0,70000,,,310
144,257,0.05679422244429588,3834,-31.8555965423584,-22.24243927001953,500.0,0.0,80000,0.034191761165857315,0.00075,310
148,257,,,,,500.0,0.0,80000,,,310
152,257,,,,,500.0,0.0,80000,,,310
156,257,,,,,500.0,0.0,80000,,,310
160,257,,,,,500.0,0.0,80000,,,310
164,290,0.03937402367591858,4334,-36.26380920410156,-21.832836151123047,500.0,0.0,90000,0.03071354702115059,0.00075,310
168,290,,,,,500.0,0.0,90000,,,310
172,290,,,,,500.0,0.0,90000,,,310
176,290,,,,,500.0,0.0,90000,,,310
180,290,,,,,500.0,0.0,90000,,,310
184,322,0.027420375496149063,4834,-39.44397735595703,-21.366931915283203,500.0,0.0,100000,0.030511900782585144,0.00075,309
188,322,,,,,500.0,0.0,100000,,,309
192,322,,,,,500.0,0.0,100000,,,309
196,322,,,,,500.0,0.0,100000,,,309
200,322,,,,,500.0,0.0,100000,,,309
204,354,0.01932547800242901,5334,-42.41277313232422,-21.146005630493164,500.0,0.0,110000,3.44661021232605,0.00075,309
208,354,,,,,500.0,0.0,110000,,,309
212,354,,,,,500.0,0.0,110000,,,309
216,354,,,,,500.0,0.0,110000,,,309
220,354,,,,,500.0,0.0,110000,,,309
224,387,0.013859521597623825,5834,-35.285888671875,-20.624629974365234,500.0,0.0,120000,0.026071924716234207,0.00075,309
228,387,,,,,500.0,0.0,120000,,,309
232,387,,,,,500.0,0.0,120000,,,309
236,387,,,,,500.0,0.0,120000,,,309
240,387,,,,,500.0,0.0,120000,,,309
244,420,0.010178149677813053,6334,-35.32310485839844,-19.968769073486328,500.0,0.0,130000,0.029834289103746414,0.00075,309
248,420,,,,,500.0,0.0,130000,,,309
252,420,,,,,500.0,0.0,130000,,,309
256,420,,,,,500.0,0.0,130000,,,309
260,420,,,,,500.0,0.0,130000,,,309
264,454,0.0076119741424918175,6834,-19.385601043701172,-19.03744888305664,500.0,0.0,140000,0.022891702130436897,0.00075,308
268,454,,,,,500.0,0.0,140000,,,308
272,454,,,,,500.0,0.0,140000,,,308
276,454,,,,,500.0,0.0,140000,,,308
280,454,,,,,500.0,0.0,140000,,,308
284,487,0.005910661071538925,7334,-33.379432678222656,-18.959728240966797,500.0,0.0,150000,0.03234283626079559,0.00075,307
288,487,,,,,500.0,0.0,150000,,,307
292,487,,,,,500.0,0.0,150000,,,307
296,487,,,,,500.0,0.0,150000,,,307
300,487,,,,,500.0,0.0,150000,,,307
304,521,0.004603202920407057,7834,-16.434158325195312,-18.476097106933594,500.0,0.0,160000,0.02843650057911873,0.00075,307
308,521,,,,,500.0,0.0,160000,,,307
312,521,,,,,500.0,0.0,160000,,,307
316,521,,,,,500.0,0.0,160000,,,307
320,521,,,,,500.0,0.0,160000,,,307
324,553,0.0037801468279212713,8334,16.789440155029297,-18.083642959594727,500.0,0.0,170000,2.4995646476745605,0.00075,307
328,553,,,,,500.0,0.0,170000,,,307
332,553,,,,,500.0,0.0,170000,,,307
336,553,,,,,500.0,0.0,170000,,,307
340,553,,,,,500.0,0.0,170000,,,307
344,587,0.003232392016798258,8834,-15.465536117553711,-17.761642456054688,500.0,1.11,180000,2.1842479705810547,0.00075,306
348,587,,,,,500.0,1.11,180000,,,306
352,587,,,,,500.0,1.11,180000,,,306
356,587,,,,,500.0,1.11,180000,,,306
360,587,,,,,500.0,1.11,180000,,,306
364,619,0.003042184980586171,9334,-15.326932907104492,-17.04830551147461,500.0,1.11,190000,0.017734646797180176,0.00075,306
368,619,,,,,500.0,1.11,190000,,,306
372,619,,,,,500.0,1.11,190000,,,306
376,619,,,,,500.0,1.11,190000,,,306
380,619,,,,,500.0,1.11,190000,,,306
384,652,0.00295414961874485,9834,-10.786956787109375,-16.60122299194336,500.0,1.11,200000,0.03916362673044205,0.00075,306
388,652,,,,,500.0,1.11,200000,,,306
392,652,,,,,500.0,1.11,200000,,,306
396,652,,,,,500.0,1.11,200000,,,306
400,652,,,,,500.0,1.11,200000,,,306
404,684,0.002772325649857521,10334,-3.3579678535461426,-15.936162948608398,500.0,1.11,210000,0.04637856036424637,0.00075,306
408,685,,,,,500.0,1.11,210000,,,306
412,685,,,,,500.0,1.11,210000,,,306
416,685,,,,,500.0,1.11,210000,,,306
420,685,,,,,500.0,1.11,210000,,,306
424,717,0.0026248604990541935,10834,16.588207244873047,-15.994844436645508,500.0,1.11,220000,0.04399137943983078,0.00075,306
428,717,,,,,500.0,1.11,220000,,,306
432,717,,,,,500.0,1.11,220000,,,306
436,717,,,,,500.0,1.11,220000,,,306
440,718,,,,,500.0,1.11,220000,,,306
444,750,0.0023300505708903074,11334,2.0085487365722656,-15.322822570800781,500.0,0.0,230000,0.06109917163848877,0.00075,306
448,750,,,,,500.0,0.0,230000,,,306
452,750,,,,,500.0,0.0,230000,,,306
456,750,,,,,500.0,0.0,230000,,,306
460,750,,,,,500.0,0.0,230000,,,306
