train/critic_loss,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps
0.1388019621372223,4,500.0,0.0,0.9048860669136047,26,334,-1.1762497425079346,0.0003,10000,-13.062162399291992,373
,8,500.0,0.0,,26,,,,10000,,373
,12,500.0,0.0,,26,,,,10000,,373
,16,500.0,0.0,,26,,,,10000,,373
,20,500.0,0.0,,26,,,,10000,,373
1.7628469467163086,24,500.0,0.0,0.7787923216819763,56,834,-2.935607433319092,0.0003,20000,-19.816913604736328,352
,28,500.0,0.0,,56,,,,20000,,352
,32,500.0,0.0,,56,,,,20000,,352
,36,500.0,0.0,,56,,,,20000,,352
,40,500.0,0.0,,56,,,,20000,,352
0.10508646070957184,44,500.0,0.0,0.6703224182128906,84,1334,-4.721485614776611,0.0003,30000,-26.275482177734375,353
,48,500.0,0.0,,84,,,,30000,,353
,52,500.0,0.0,,84,,,,30000,,353
,56,500.0,0.0,,84,,,,30000,,352
,60,500.0,0.0,,84,,,,30000,,352
0.1338104009628296,64,500.0,0.0,0.5769689083099365,113,1834,-6.482625484466553,0.0003,40000,-31.48666000366211,351
,68,500.0,0.0,,113,,,,40000,,351
,72,500.0,0.0,,113,,,,40000,,351
,76,500.0,0.0,,113,,,,40000,,351
,80,500.0,0.0,,113,,,,40000,,351
9.855354309082031,84,500.0,0.0,0.4966029226779938,142,2334,-8.206212997436523,0.0003,50000,-35.87663269042969,350
,88,500.0,0.0,,142,,,,50000,,350
,92,500.0,0.0,,142,,,,50000,,350
,96,500.0,0.0,,142,,,,50000,,350
,100,500.0,0.0,,142,,,,50000,,350
0.16570909321308136,104,500.0,0.0,0.42747706174850464,171,2834,-9.985615730285645,0.0003,60000,-39.42625045776367,349
,108,500.0,0.0,,171,,,,60000,,349
,112,500.0,0.0,,171,,,,60000,,349
,116,500.0,0.0,,171,,,,60000,,349
,120,500.0,0.0,,171,,,,60000,,349
0.1084098070859909,124,500.0,0.0,0.36799752712249756,200,3334,-11.709197998046875,0.0003,70000,-41.90380859375,349
,128,500.0,0.0,,200,,,,70000,,349
,132,500.0,0.0,,200,,,,70000,,349
,136,500.0,0.0,,200,,,,70000,,349
,140,500.0,0.0,,200,,,,70000,,349
0.1881026029586792,144,500.0,0.0,0.31680014729499817,229,3834,-13.516656875610352,0.0003,80000,-44.34398651123047,348
,148,500.0,0.0,,229,,,,80000,,348
,152,500.0,0.0,,229,,,,80000,,348
,156,500.0,0.0,,229,,,,80000,,348
,160,500.0,0.0,,229,,,,80000,,348
29.957534790039062,164,500.0,0.0,0.27273738384246826,258,4334,-15.275585174560547,0.0003,90000,-45.2953987121582,348
,168,500.0,0.0,,258,,,,90000,,348
,172,500.0,0.0,,258,,,,90000,,348
,176,500.0,0.0,,258,,,,90000,,348
,180,500.0,0.0,,258,,,,90000,,348
0.18374700844287872,184,500.0,0.0,0.23483328521251678,287,4834,-17.00438690185547,0.0003,100000,-46.035125732421875,347
,188,500.0,0.0,,287,,,,100000,,347
,192,500.0,0.0,,287,,,,100000,,347
,196,500.0,0.0,,287,,,,100000,,347
,200,500.0,0.0,,287,,,,100000,,347
0.24363499879837036,204,500.0,0.0,0.20228424668312073,317,5334,-18.638166427612305,0.0003,110000,-47.296531677246094,346
,208,500.0,0.0,,317,,,,110000,,346
